text	subject	object	relation_in_sentence
John wants to live in Palo Alto	John	Palo Alto	unknown
John wants to live in Palo Alto.	John	Palo Alto	unknown
John wants to study at Stanford University	John	Stanford University	unknown
John was given a job offer by Apple.	John	Apple	unknown
John was interviewed as part of the Apple company.	John	Apple	unknown
John was interviewed by Apple	John	Apple	unknown
John was interviewed by representatives from Apple.	John	Apple	unknown
John was interviewed for a position at Apple.	John	Apple	unknown
John was not a worker at Apple.	John	Apple	unknown
John was not accepted to Stanford University.	John	Stanford University	unknown
John was not admitted to Stanford University.	John	Stanford University	unknown
John was not an Apple employee.	John	Apple	unknown
John was not an employee of Apple	John	Apple	unknown
John was not employed by Apple.	John	Apple	unknown
John was not employed by the company Apple.	John	Apple	unknown
John was not given admission to Stanford University.	John	Stanford University	unknown
John was not married to Jane	John	Jane	unknown
John was not married, but Jane was.	John	Jane	unknown
John was not offered admission to Stanford University.	John	Stanford University	unknown
John was not on Apple's payroll.	John	Apple	unknown
John was not on the payroll of Apple.	John	Apple	unknown
John was not provided admission to Stanford University.	John	Stanford University	unknown
John was offered a job by Apple.	John	Apple	unknown
John was presented with a job opportunity by Apple.	John	Apple	unknown
John was proposed a job by Apple.	John	Apple	unknown
John was single, while Jane was married.	John	Jane	unknown
John wasn't born in Palo Alto.	John	Palo Alto	unknown
John will be an employee at Apple.	John	Apple	unknown
John will be an employee of Apple	John	Apple	unknown
John will be employed by Apple.	John	Apple	unknown
John will be Jane's husband.	John	Jane	unknown
John will be married to Jane	John	Jane	unknown
John will become an employee of Apple.	John	Apple	unknown
John will get married to Jane	John	Jane	unknown
John will live in Palo Alto	John	Palo Alto	unknown
John will make Palo Alto his home.	John	Palo Alto	unknown
John will study at Stanford University	John	Stanford University	unknown
John will take Jane as his wife.	John	Jane	unknown
John will work for Apple.	John	Apple	unknown
John works in Palo Alto	John	Palo Alto	unknown
John would be a great asset to Apple as an employee.	John	Apple	unknown
John would be a perfect fit as an employee of Apple.	John	Apple	unknown
John would be an excellent employee of Apple.	John	Apple	unknown
John would be best in Palo Alto.	John	Palo Alto	unknown
John would be better off in Palo Alto.	John	Palo Alto	unknown
John would be better off living in Palo Alto.	John	Palo Alto	unknown
John would be content living in Palo Alto.	John	Palo Alto	unknown
John would be happy in Palo Alto.	John	Palo Alto	unknown
John would be happy living in Palo Alto.	John	Palo Alto	unknown
John would be well-advised to study at Stanford University.	John	Stanford University	unknown
John would be well-suited to living in Palo Alto.	John	Palo Alto	unknown
John would be wise to become an employee of Apple.	John	Apple	unknown
John would be wise to study at Stanford University.	John	Stanford University	unknown
John would benefit from living in Palo Alto.	John	Palo Alto	unknown
John would benefit from studying at Stanford University.	John	Stanford University	unknown
John would do well in Palo Alto.	John	Palo Alto	unknown
John would enjoy living in Palo Alto.	John	Palo Alto	unknown
John would excel as an employee of Apple.	John	Apple	unknown
John would like to live in Palo Alto	John	Palo Alto	unknown
John would like to reside in Palo Alto.	John	Palo Alto	unknown
John would like to work for Apple.	John	Apple	unknown
John would love to live in Palo Alto.	John	Palo Alto	unknown
John's goal is to be an employee of Apple.	John	Apple	unknown
John's goal is to marry Jane.	John	Jane	unknown
John's place of living could be in Palo Alto	John	Palo Alto	unknown
John's plan is to marry Jane.	John	Jane	unknown
John's top priority is to live in Palo Alto.	John	Palo Alto	unknown
Living in Palo Alto is something John has never done.	John	Palo Alto	unknown
Living in Palo Alto is something John wants.	John	Palo Alto	unknown
Palo Alto could be John's place of residence	John	Palo Alto	unknown
Palo Alto has never been John's home.	John	Palo Alto	unknown
Palo Alto is where John wants to live.	John	Palo Alto	unknown
Palo Alto would be a good place for John.	John	Palo Alto	unknown
Palo Alto would be an ideal place for John to live.	John	Palo Alto	unknown
Palo Alto would be right for John.	John	Palo Alto	unknown
Palo Alto would suit John.	John	Palo Alto	unknown
Perhaps John lived in Palo Alto.	John	Palo Alto	unknown
Stanford University wasn't John's place of study.	John	Stanford University	unknown
The only thing John wants is to live in Palo Alto.	John	Palo Alto	unknown
There is a chance that John works for Apple.	John	Apple	unknown
There is a possibility that John is an employee of Apple.	John	Apple	unknown
There is a possibility that John lives in Palo Alto	John	Palo Alto	unknown
There's a chance John will marry Jane.	John	Jane	unknown
Apple employs John.	John	Apple	employee_of
Apple was John's employer.	John	Apple	employee_of
At one time, John's home was in Palo Alto.	John	Palo Alto	cities_of_residence
In the past, John lived in Palo Alto.	John	Palo Alto	cities_of_residence
Jane is John's wife.	John	Jane	spouse
Jane is now John's wife.	John	Jane	spouse
Jane married John.	John	Jane	spouse
John and Jane are a married couple.	John	Jane	spouse
John and Jane are husband and wife.	John	Jane	spouse
John and Jane were married.	John	Jane	spouse
John attended Stanford University.	John	Stanford University	schools_attended
John attends Stanford University.	John	Stanford University	schools_attended
John completed his studies at Stanford University.	John	Stanford University	schools_attended
John got married to Jane	John	Jane	spouse
John graduated from Stanford University.	John	Stanford University	schools_attended
John has been a resident of Palo Alto for many years.	John	Palo Alto	cities_of_residence
John has been living in Palo Alto for a considerable amount of time.	John	Palo Alto	cities_of_residence
John has lived in Palo Alto	John	Palo Alto	cities_of_residence
John has studied at Stanford University	John	Stanford University	schools_attended
John is a native of Palo Alto.	John	Palo Alto	cities_of_residence
John is a resident of Palo Alto.	John	Palo Alto	cities_of_residence
John is a staff member at Apple.	John	Apple	employee_of
John is a student at Stanford University.	John	Stanford University	schools_attended
John is an Apple employee.	John	Apple	employee_of
John is an employee of Apple	John	Apple	employee_of
John is enrolled at Stanford University.	John	Stanford University	schools_attended
John is married to Jane	John	Jane	spouse
John is studying at Stanford University.	John	Stanford University	schools_attended
John is working towards a degree at Stanford University.	John	Stanford University	schools_attended
John lives in Palo Alto	John	Palo Alto	cities_of_residence
John married Jane.	John	Jane	spouse
John pursued his studies at Stanford University.	John	Stanford University	schools_attended
John resides in Palo Alto.	John	Palo Alto	cities_of_residence
John studied at Stanford University	John	Stanford University	schools_attended
John studies at Stanford University	John	Stanford University	schools_attended
John used to live in Palo Alto	John	Palo Alto	cities_of_residence
John was a student at Stanford University.	John	Stanford University	schools_attended
John was employed by Apple.	John	Apple	employee_of
John was married to Jane	John	Jane	spouse
John worked for Apple.	John	Apple	employee_of
John works for Apple.	John	Apple	employee_of
John's Alma Mater is Stanford University.	John	Stanford University	schools_attended
John's wife is Jane.	John	Jane	spouse
