conceptType,conceptUri,skillType,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ad40ef-1336-4c0c-abd5-1001773c0eda,knowledge,electrooptic devices,"kinds of electrooptic devices
lasers
kinds of electro-optic devices
typology of electro-optic devices
typology of electrooptic devices
electro-optic devices
electro-optic modulators
types of electro-optic devices
types of electrooptic devices","Optical devices, systems, and components that possess electrical or electronic features, such as lasers or electrooptic modulators."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07b83472-11f3-45f8-8855-987aa600581f,knowledge,electron beam welding machine parts,"electron beam heating and bonding machine elements
electron beam welding machine components
electron beam heating and bonding machine pieces
electron beam welding machine units
electron beam welding machine pieces
electron beam welding machine elements
electron beam heating and bonding machine components
electron beam heating and bonding machine units","The various parts of a metalworking machine designed to join metal pieces together using electron beams, such as the vacuum chamber, primary anode, cathode or electron gun, focusing coil, deflection coil, prism, telescope, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07d1dd29-4954-48f0-b807-6df53a7bceb2,knowledge,theories of personality,"personality theory
theoretical concepts of personality
personality theories
theory of personality","Theoretical conceptions of personality, such as psychodynamic theory, humanistic theory or behaviorism."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/080a3bf6-c8e8-481e-b97e-8fbc964ebab7,knowledge,typography,typographies,The procedure of arranging  written texts for printing processes. 
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081513d0-7bad-4942-b8fb-1c24d9991fde,knowledge,mechanical forging press parts,"machine fashioned stamp units
machine fashioned stamp segments
machine fashioned stamp components
mechanical forging press sections
mechanical forging press components
mechanical forging press segments
mechanical forging press units
machine fashioned stamp sections","The various part of a mechanical press used for forging metalworking processes, such as cams, cranks and toggles in the preset, a ram, upper die, lower die, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0815979a-6506-47e2-951c-912414c98cbc,knowledge,national population census,"national population censuses
population census of nation","The official procedure of systematically collecting information of the population such as gender, employability, education levels, and other demographics in order have a clear understanding of the population for governmental development plans."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,knowledge,environmental policy,"local environmental policy
local environmental protection policy
international environmental protection policy
national environmental policy
national environmental protection policy
international environmental policy","Local, national and international policies dealing with the promotion of environmental sustainability and the development of projects which reduce negative environmental impact and improve the state of the environment."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0833f2b7-b513-4d81-a93a-f9dee77d4fe1,knowledge,market trends in sporting equipment,"market trends in sports equipment
market trend in sports equipment
market movements in sporting equipment
market trend in sporting equipment
market directions in sporting equipment
market drifts in sporting equipment
market tendencies in sporting equipment",Latest trends and developments on the sports equipment market.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,knowledge,accounting department processes,"accounting department procedures, accounting department methods
accounting processes
accounts department processes
accounting department process","The different processes, duties, jargon, role in an organisation, and other specificities of the accounting department within an organisation such as bookkeeping, invoices, recording, and taxing."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08591546-e9bc-47fc-97b3-8663b3713a5f,knowledge,clinical reports,"clinical notes
clinical note
clinical documentation
clinical documentations","The methods, assessment practices, credentials and opinions gathering procedures necessary for writing clinical reports."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,knowledge,WizIQ,,"The computer program WizIQ is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a,knowledge,warehouse operations,"principles and practices of warehouse operations
principles of warehouse operations
paradigms of warehouse operations
functions of warehouses
operations of warehouses
operations in warehouses
warehouse practices
warehouse functions
fundamental principles of warehouse operations
fundamentals of warehouse operations","Know the basic principles and practices of warehouse operations such as goods storage. Understand and satisfy customer needs and requirements while effectively utilising warehouse equipment, space and labour."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b4e1c1-eddd-4495-94ea-510c310a5fe6,knowledge,kosher slaughtering practices,"kosher slaughtering conventions
kosher slaughtering processes
kosher slaughtering practice
kosher slaughtering methods
kosher slaughtering rituals
kosher slaughter practice
kosher slaughter practices","The practices involved in the slaughtering of animals for food consumption according to Jewish dietary laws such as the knife to be used, slaughtering techniques and blood drainage from the carcass."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08bd8e7b-9f94-4c94-b98f-9c1aedc483af,knowledge,quality prototype of a tobacco leaf,"quality example of a tobacco leaf
tobacco leaf quality prototype
quality prototype of tobacco leaves
quality model of a tobacco leaf
quality mock-up of a tobacco leaf
quality precursor of a tobacco leaf","Characteristics and properties of a tobacco leaf to grade and consider it of high, medium, or low quality product taking into account colour variations, tears, tar spots, tight grain, and size of the leaf."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08deb446-76f3-4fa2-bd01-dd368c66880d,knowledge,optical equipment standards,"international optical equipment regulations
regulations for optical equipment
standards relating to optical equipment
standards for optical equipment
regulations covering optical equipment
national optical equipment regulations
standards covering optical equipment
national optical equipment standards
international optical equipment standards
regulations relating to optical equipment","The national and international quality and safety standards and regulations with regards to the use and manufacture of optical equipment, including optical materials, optical components, optical systems, ophthalmic equipment, optomechanical equipment, optical measuring equipment, photographic equipment, and optoelectronic equipment."
